Symbol,Gene_Symbol,CD11cC8_Y_F5_MACS,CD11cC8_Y_F4_MACS,CD11cC8_Y_F3_MACS,CD11cC8_O_F4_MACS,CD11cC8_O_F3_MACS,CD11cC8_O_F1_MACS,C8_Y_F6_MACS,C8_Y_F2_MACS,C8_Y_F1_MACS,C8_O_F7_MACS,C8_O_F4_MACS,C8_O_F2_MACS
ENSMUSG00000000134,Tfe3,58.48430552,92.15994508,44.53102393,24.7967974,123.2479188,110.1909759,88.69574927,131.3706968,63.53466323,64.26651765,47.78788677,88.95423872
ENSMUSG00000000142,Axin2,0,0,0,0,0.306968664,0,22.06137926,0,0,0,0,30.32915949
ENSMUSG00000000148,Brat1,9.351149122,15.22017299,0.465481086,76.29783815,23.48310283,0.15219748,26.78881767,0,11.86639624,11.88490395,42.53121923,60.65831897
ENSMUSG00000000149,Gna12,40.7329716,20.3734599,49.49615551,4.291753396,33.15261576,7.457676544,38.26973953,8.412901767,0.494433177,0,28.67273206,0.33887329
ENSMUSG00000000154,Slc22a18,0,5.872350207,2.17224507,0,6.292857622,0,0,0,6.922064476,0,0,12.03000181
ENSMUSG00000000157,Itgb2l,40.09899539,86.88681428,8.999301003,20.26661326,48.34756466,22.67742459,2.026045034,83.26615595,0,5.282179533,81.00046808,94.37621137
ENSMUSG00000000159,Igsf5,0,0,0,0,0,0.15219748,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,0,0,0,0,0,0,0,0,0,15.8465386,0,0.169436645
ENSMUSG00000000168,Dlat,15.84940529,18.93533332,44.84134465,0.476861488,14.58101156,13.2411808,29.71532717,0.43143086,65.01796276,10.78444988,1.433636603,10.84394529
ENSMUSG00000000171,Sdhd,16.00789934,13.30267088,23.11889395,43.1559647,8.134669609,15.82853797,5.627902872,11.00148693,43.75733615,0,22.93818565,1.863803097
ENSMUSG00000000182,Fgf23,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,223.7936027,64.47600839,63.15026738,229.6088067,168.0653438,188.5726783,419.6164382,428.6265593,335.2256939,311.8686833,497.2329619,263.9822932
ENSMUSG00000000194,Gpr107,75.91865134,47.3383333,43.13458067,7.629783815,91.78363068,108.6690011,24.08742429,144.0979072,22.24949296,0.880363255,63.31894998,20.84070736
ENSMUSG00000000197,Nalcn,0,0,0,0,0,0,0,0,0,0,9.557577355,0
ENSMUSG00000000202,Btbd17,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000204,Slfn4,149.4598919,76.9397721,16.13667766,67.71433136,57.55662459,134.8469677,0.675348345,13.37435666,0.247216588,31.91316801,68.09773865,57.77789601
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,0,0,0,0,0,0,0,0,9.319015485
ENSMUSG00000000223,Drp2,0,0,0,0.238430744,0,0,0,0,0,0,0,0
ENSMUSG00000000244,Tspan32,2.377410794,9.46766666,2.637726156,0.238430744,19.79947886,0,18.90975365,49.39883345,26.94660814,55.02270347,23.41606452,25.41549678
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000248,Clec2g,0,1.078594936,0,0,0,0,0,0,0,0,0.238939434,0
ENSMUSG00000000253,Gmpr,0,0,0.155160362,0,0,0,0,0,0,0.220090814,0,0
ENSMUSG00000000263,Glra1,10.7775956,0,0,0,0,0,0,0,0,0,1.672576037,0
ENSMUSG00000000266,Mid2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000275,Trim25,308.9049091,361.5689913,230.102817,456.3564444,281.1832967,370.600865,345.5532364,294.020131,277.8714454,619.1154594,205.0100343,158.7621365
ENSMUSG00000000276,Dgke,0,0,1.086122535,67.23746987,7.367247948,2.587357168,0.225116115,18.7672424,0.988866354,0.220090814,7.168183016,24.56831355
ENSMUSG00000000278,Scpep1,159.1280291,155.5573585,176.5724921,92.03426727,209.3526292,201.0528717,107.1552707,125.1149494,118.911179,118.188767,90.55804544,99.96762066
ENSMUSG00000000282,Mnt,47.23122777,50.09474258,84.09691627,4.53018414,43.89651902,78.38170245,20.48556646,69.24465301,134.7330407,53.70215858,43.24803753,58.45564259
ENSMUSG00000000290,Itgb2,1458.620769,949.5230753,1556.879073,456.3564444,637.4204318,912.4238956,1545.647245,1212.105001,1573.039152,795.1881105,1963.365328,1227.399058
ENSMUSG00000000295,Hddc2,5.547291852,11.02563712,2.482565794,0,0,0,4.502322298,0.43143086,0,0,10.51333509,9.14957884
ENSMUSG00000000296,Tpd52l1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000301,Pemt,0,0,0,0,0,10.80602111,0,0,0,0,0,0
ENSMUSG00000000303,Cdh1,0,5.153286916,0.310320724,0.476861488,0.153484332,0,0.225116115,11.86434865,39.80187074,0,2.389394339,2.202676387
ENSMUSG00000000305,Cdh4,0,0,0,0,0.306968664,0,0,0,0,0,6.929243582,0
ENSMUSG00000000308,Ckmt1,3.486869164,0,0,0,0,0,0.225116115,0,0,0,0,0.169436645
ENSMUSG00000000317,Bcl6b,0,0.119843882,0,0,0,0,0,0,0,0,6.451364715,0
ENSMUSG00000000318,Clec10a,124.8933137,84.84946829,61.90898448,61.03827052,101.4531436,131.8030181,85.76923977,128.7821117,110.0113819,36.09489347,14.33636603,104.3729734
ENSMUSG00000000320,Alox12,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000325,Arvcf,0,1.797658227,3.103207242,0,0,0,0,0.21571543,0,0,3.584091508,0.169436645
ENSMUSG00000000326,Comt,6.973738328,32.11816031,31.18723278,10.96781423,4.297561303,53.72571061,105.3543418,65.14605984,22.99114272,0.220090814,46.83212904,37.78437188
ENSMUSG00000000339,Rtca,31.54031653,45.78036284,38.16944908,0.476861488,59.39843658,0,7.879064021,0.21571543,27.6882579,0.220090814,0.955757735,41.85085136
ENSMUSG00000000340,Dbt,1.901928635,2.396877635,0,0.238430744,0.306968664,1.217579844,1.800928919,25.88585159,2.966599061,0,2.389394339,9.14957884
ENSMUSG00000000346,Dazap2,1166.357735,935.0219656,1036.471219,625.1654113,738.4131224,984.8698963,878.6281964,895.6504651,797.5207143,682.9417954,1034.607749,899.0308393
ENSMUSG00000000355,Mcts1,63.23912711,53.09083963,88.28624604,48.87830256,135.2196967,118.4096398,69.5608795,16.6100881,20.27176025,55.4628851,60.92955564,64.55536181
ENSMUSG00000000359,Rem1,0,2.636565399,11.63702716,0,0.306968664,0,0,0,0,0,0.238939434,16.77422787
ENSMUSG00000000365,Rnf17,0,0.119843882,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000374,Trappc10,111.7383073,66.15382274,57.87481507,8.821937536,42.8221287,70.16303851,72.487389,41.84879341,29.17155743,239.6788963,57.823343,49.81437368
ENSMUSG00000000378,Ccm2,41.0499597,54.88849785,61.4435034,137.0976779,65.2308412,46.57242903,104.2287612,68.38179129,86.77302254,126.1120363,57.823343,83.70170272
ENSMUSG00000000381,Wap,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000384,Tbrg4,26.78549494,25.16721517,25.91178047,7.152922326,4.911498632,24.04720192,5.177670643,8.628617197,11.12474648,0.220090814,16.9646998,21.010144
ENSMUSG00000000385,Tmprss2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000386,Mx1,22.98163767,54.52896621,28.85982735,58.17710159,66.1517472,94.21024042,0.225116115,17.04151896,65.75961252,25.09035278,63.79682884,51.33930349
ENSMUSG00000000392,Fap,0,0,0,0,0,0,0,12.08006408,0,0,0,0.169436645
ENSMUSG00000000394,Gcg,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,Ndufa9,17.90982798,34.63488183,47.63423117,24.7967974,32.23170977,3.19614709,8.104180136,3.882877739,17.79959437,26.85107929,26.28333773,15.58817136
ENSMUSG00000000402,Egfl6,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000409,Lck,15.21542908,16.53845568,24.20501649,0.476861488,2.916202313,31.80927342,153.9794226,62.12604382,58.59033146,0.880363255,77.89425544,114.3697355
ENSMUSG00000000411,Tssk3,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000416,Cttnbp2,4.437833481,0,0,0,0,12.32799592,0,0,0,10.56435907,9.557577355,0
ENSMUSG00000000420,Galnt1,139.9502487,146.0896919,157.1774468,160.4638909,121.4061068,194.812775,208.9077546,137.1950134,128.552626,97.06004892,159.133663,91.4957884
ENSMUSG00000000435,Myf5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,Mkrn2,4.120845376,11.26532489,9.930263175,53.4084867,19.64599453,0.15219748,37.14415896,3.020016019,24.96887543,38.29580161,3.10621264,10.16619871
ENSMUSG00000000440,Pparg,2.535904847,0.838907172,25.60145975,9.298799024,14.12055857,18.26369766,52.902287,34.73018422,14.58577872,29.05198743,31.7789447,37.27606194
ENSMUSG00000000441,Raf1,171.3320712,88.44478475,248.4117397,259.6510804,139.3637737,96.79759759,104.9041095,117.9963402,204.4481186,92.87832345,92.46956091,167.4034054
ENSMUSG00000000486,Sept1,5.547291852,8.029540079,18.15376237,0,4.297561303,17.65490774,34.66788169,25.02298987,25.7105252,24.65017115,25.80545886,33.71789239
ENSMUSG00000000489,Pdgfb,104.923063,11.02563712,88.59656677,190.0293031,39.90592638,29.06971877,64.15809274,143.4507609,92.95343725,0.440181628,81.00046808,60.31944568
ENSMUSG00000000530,Acvrl1,20.92121498,25.04737129,7.758018106,0.953722977,27.78066414,28.15653389,11.93115409,4.745739458,34.85753897,0.220090814,25.80545886,24.22944026
ENSMUSG00000000531,Grasp,71.79780597,10.78594936,14.27475331,29.80384303,0.613937329,20.09006743,9.004644596,6.255747468,51.42105039,23.54971708,3.584091508,90.98747846
ENSMUSG00000000532,Acvr1b,25.20055441,45.06129955,18.77440382,0.238430744,9.516028599,19.78567246,3.151625608,26.31728245,0.494433177,0,16.9646998,33.88732904
ENSMUSG00000000538,Tom1l2,18.70229824,27.44424893,30.10111025,0.715292233,12.89268391,32.41806334,0.225116115,33.43589164,8.652580595,0.220090814,8.123940752,0.169436645
ENSMUSG00000000544,Gpa33,0,0.119843882,0,0,0,0,0,0,0,0,0.238939434,0
ENSMUSG00000000552,Zfp385a,53.72948394,43.62317297,40.18653379,39.81793428,79.65836843,83.40421931,24.53765652,20.70868127,34.1158892,2.200908139,10.99121396,2.710986323
ENSMUSG00000000555,Itga5,3.80385727,3.35562869,2.637726156,0.238430744,0.306968664,0,0,0,1.236082942,0,0.716818302,8.302395614
ENSMUSG00000000560,Gabra2,17.43434582,0,2.17224507,19.55132103,1.995296319,4.261529454,0,4.745739458,11.86639624,0.220090814,9.318637921,0
ENSMUSG00000000561,Wdr77,21.07970904,16.89798733,11.63702716,6.914491582,23.17613417,0.15219748,107.830619,52.20313404,22.74392614,46.65925254,85.77925676,16.26591794
ENSMUSG00000000562,Adora3,5.705785905,5.752506325,1.551603621,3.338030419,16.57630788,0,0,9.275763487,0,36.09489347,24.84970112,0.33887329
ENSMUSG00000000563,Atp5f1,185.75503,173.294253,271.5306337,31.94971972,110.0482662,180.3540144,162.0836027,192.6338789,107.7864326,243.4204401,88.1686511,152.6624173
ENSMUSG00000000567,Sox9,0,0,0,0,0,0,0.225116115,0.21571543,21.75505978,0,12.18591113,0
ENSMUSG00000000568,Hnrnpd,319.2070226,284.868907,217.8451484,339.5253798,195.2320706,223.8824938,251.2295842,216.7940071,373.0498319,234.8368984,231.7712509,244.6665156
ENSMUSG00000000579,Dynlt1c,0,0,0,0,0,0,0,0.21571543,0,0,0,0
ENSMUSG00000000581,C1d,66.25051412,36.43254006,21.87761106,34.09559642,38.52456739,30.28729862,16.88370862,31.92588363,24.96887543,19.36799162,15.29212377,53.88085317
ENSMUSG00000000594,Gm2a,447.4287114,519.5232275,532.9758439,458.0254596,319.5543797,469.9858198,439.4266563,301.1387402,802.7122626,336.5188544,290.0724727,490.0107779
ENSMUSG00000000600,Krit1,32.966763,81.97321513,84.71755771,48.87830256,34.99442775,83.25202183,37.8195073,49.83026431,50.92661722,8.143360113,32.73470244,25.07662349
ENSMUSG00000000605,Clcn4,71.63931191,52.97099574,132.6621096,155.4568452,55.56132827,118.5618373,148.3515197,58.02745065,26.69939155,87.59614392,60.92955564,91.4957884
ENSMUSG00000000606,Vmn2r88,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000617,Grm6,0,0.119843882,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000627,Sema4f,0,0,0,0,0,0,0,0,0,0,0,1.016619871
ENSMUSG00000000628,Hk2,247.8846987,149.0857889,133.7482321,149.2576459,182.1859024,177.1578673,185.2705626,121.2320716,114.4612804,267.6304297,239.1783733,178.586224
ENSMUSG00000000631,Myo18a,48.65767424,42.0652025,55.08192855,41.010088,49.57543931,37.28838272,88.24551704,68.59750672,72.681677,115.5476773,58.5401613,33.20958246
ENSMUSG00000000632,Sez6,4.91331564,2.157189872,2.017084707,1.907445954,2.455749316,1.826369766,1.350696689,6.040032038,6.427631299,4.401816277,4.778788677,5.591409291
ENSMUSG00000000673,Haao,24.5665782,11.145481,9.154461365,0.238430744,11.20435625,28.30873137,0.225116115,12.72721037,0,20.02826406,2.150454905,39.98704826
ENSMUSG00000000682,Cd52,1082.355887,1079.433843,941.0475962,1161.873017,1240.767342,1080.145519,575.1716735,762.5540448,1031.634824,895.3294308,1232.21066,1355.832035
ENSMUSG00000000686,Abhd15,9.192655069,1.797658227,1.241282897,0,0.153484332,0,0,0,0,0,0,0
ENSMUSG00000000690,Hoxb6,0,0,0,0,0,0,0.45023223,0,0,0,0,0
ENSMUSG00000000693,Loxl3,6.498256169,1.557970463,6.516735209,0,0.153484332,0,0,10.35434064,0,0,0.238939434,0.169436645
ENSMUSG00000000701,Tcl1b5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,Btn1a1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000708,Kat2b,60.86171632,26.60534175,25.29113902,29.08855079,36.52927107,83.09982435,123.1385148,14.88436467,123.3610776,2.420998953,54.00031205,27.27929987
ENSMUSG00000000711,Rab5b,30.43085816,25.28705905,43.28974103,0.715292233,46.04529967,51.89934085,40.7460168,30.84730648,43.26290298,8.143360113,71.68183016,16.43535458
ENSMUSG00000000724,Cryba1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000730,Dnmt3l,0,0,0,0,0,0,0,0,0,0,4.30090981,0
ENSMUSG00000000731,Aire,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000732,Icosl,33.75923327,30.32050209,12.25766861,22.6509207,34.84094342,20.69885735,8.554412366,7.550040048,0,0,8.601819619,5.760845936
ENSMUSG00000000738,Spg7,87.4887172,65.31491557,33.20431749,71.05236178,66.61220019,85.68718152,133.9440884,80.24613993,88.99797184,49.74052393,40.61970376,61.84437549
ENSMUSG00000000739,Sult5a1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000740,Rpl13,714.4911905,868.0292357,910.4810049,1149.474618,1034.177431,952.7562279,884.4812154,745.7282413,857.0999121,697.4677892,479.7903832,780.764061
ENSMUSG00000000743,Chmp1a,101.5946879,108.2190252,64.08122955,152.5956763,122.3270128,63.61854685,138.8966429,80.67757079,74.16497653,80.9934195,63.55788941,74.72156053
ENSMUSG00000000751,Rpa1,64.66557359,92.0401012,68.27055933,23.84307442,45.73833101,44.74605926,66.18413778,68.59750672,48.20723474,68.2281523,61.16849507,56.93071278
ENSMUSG00000000753,Serpinf1,0.950964317,1.917502108,0,2.384307442,0.920905993,0,0,11.00148693,4.69711518,0,4.778788677,3.219296258
ENSMUSG00000000759,Tubgcp3,25.20055441,26.9648734,31.34239315,41.24851875,42.66864436,24.80818932,40.52090068,2.372869729,0,64.48660846,37.27455168,15.07986142
ENSMUSG00000000766,Oprm1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000776,Polr3d,5.388797799,10.42641771,0.155160362,28.13482782,14.7344959,25.56917672,13.95719912,65.5774907,21.01341002,0.440181628,11.94697169,9.48845213
ENSMUSG00000000782,Tcf7,0,5.033443034,0.155160362,0.238430744,0,0,0,0,1.236082942,0,0.238939434,10.505072
ENSMUSG00000000787,Ddx3x,501.4751834,414.539987,464.2398034,284.6863086,424.537663,338.0306042,682.3269442,546.6228994,471.6892507,530.4188614,563.1802456,486.9609183
ENSMUSG00000000791,Il12rb1,0,0,0,37.91048833,0,0,0.225116115,13.15864123,0.247216588,0,9.318637921,0.508309936
ENSMUSG00000000792,Slc5a5,0,0,7.447697381,0,0,0,0,0,0,0,0,0
ENSMUSG00000000794,Kcnn3,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000804,Usp32,42.00092402,31.51894091,28.08402554,39.81793428,67.99355918,30.4394961,65.73390555,32.14159906,27.44104132,5.062088719,86.97395393,73.02719407
ENSMUSG00000000805,Car4,0,0,0,0,0,0,23.41207595,0,0,0,0,0
ENSMUSG00000000811,Txnrd3,16.95886366,0,0,0,1.227874658,0,0,3.235731449,11.37196307,0,0,7.963522324
ENSMUSG00000000817,Fasl,4.754821587,2.996097044,1.241282897,0,0.767421661,18.11150018,61.00646714,45.73167115,0.494433177,0,80.04471035,68.45240465
ENSMUSG00000000823,Zfp512b,6.339762116,16.05908016,2.94804688,21.69719772,1.227874658,13.2411808,17.78417308,7.334324618,15.57464507,3.081271394,8.840759053,8.641268904
ENSMUSG00000000826,Dnajc5,182.9021371,160.4709577,163.694182,204.8120093,181.7254494,153.2628629,146.3254747,190.4767246,143.6328379,303.0650507,258.293528,153.1707272
ENSMUSG00000000827,Tpd52l2,55.47291852,50.93364975,24.20501649,64.37630094,21.18083785,25.11258428,60.78135102,42.71165513,2.224949296,59.20442893,56.15076696,45.07014762
ENSMUSG00000000838,Fmr1,12.83801829,38.1103544,22.80857323,142.581585,69.9888555,68.33666874,63.70786051,22.43440471,48.70166792,77.47196648,92.94743978,10.67450865
ENSMUSG00000000861,Bcl11a,55.63141257,83.41134171,41.27265632,42.67910321,11.51132492,41.70210965,25.6632371,14.66864924,0.494433177,0,39.66394602,12.19943845
ENSMUSG00000000869,Il4,0,0,0,0,0,0,0,0,20.27176025,0,1.433636603,0
ENSMUSG00000000876,Pxmp4,34.23471543,42.42473415,1.086122535,0.476861488,26.70627381,17.1983153,0,1.725723439,36.3408385,5.722361161,14.33636603,14.40211484
ENSMUSG00000000881,Dlg3,25.20055441,0.958751054,6.827055933,0,0.153484332,0,0.225116115,15.53151096,6.180414711,0.220090814,16.9646998,3.897042839
ENSMUSG00000000884,Gnb1l,9.985125333,0,0,0,0.153484332,0.15219748,0,0,0,0,0,0.169436645
ENSMUSG00000000889,Dbh,0,0,0,0,0,0,0,0,0,0,0,0.169436645
ENSMUSG00000000901,Mmp11,0,0,0,0.238430744,0.153484332,0,0,0,0,0,0,0
ENSMUSG00000000902,Smarcb1,34.07622137,37.75082276,70.59796476,142.3431543,46.04529967,47.18121895,32.86695277,26.10156702,78.86209171,39.6163465,7.40712245,56.08352956
ENSMUSG00000000903,Vpreb3,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000915,Hip1r,6.815244275,8.748603369,0.155160362,9.06036828,8.288153941,24.80818932,54.92833203,48.53597173,48.45445133,24.20998953,23.41606452,18.63803097
ENSMUSG00000000916,Nsun5,6.815244275,10.5462616,5.740933398,0.476861488,1.38135899,0.304394961,0,11.86434865,33.86867262,0.220090814,2.150454905,16.94366452
ENSMUSG00000000934,Top1mt,0,0,0,0,4.604529967,0,0,1.725723439,0,0,0,0.169436645
ENSMUSG00000000938,Hoxa10,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000942,Hoxa4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000948,Gm38393,2.060422688,2.396877635,0,0,0,0,0,0,0,0,2.867273206,5.083099355
ENSMUSG00000000957,Mmp14,67.9939487,52.13208857,79.13178468,74.15196145,55.10087528,64.98832417,6.303251217,11.43291779,1.483299531,26.63098848,23.17712509,5.252536001
ENSMUSG00000000958,Slc7a7,4.596327534,22.65049365,13.34379114,60.08454754,73.97944814,17.35051278,25.88835321,6.255747468,22.24949296,0,21.98242792,26.09324336
ENSMUSG00000000959,Oxa1l,26.15151873,86.04790711,45.15166537,120.1690951,66.45871586,41.24551721,30.84090774,10.35434064,0,184.8762837,40.85864319,43.37578117
ENSMUSG00000000976,Heatr6,1.743434582,32.95706749,2.94804688,3.576461163,9.976481596,12.78458836,49.07531305,40.98593169,32.1381565,45.9989801,36.31879395,33.54845575
ENSMUSG00000000982,Ccl3,130.2821115,111.8143417,156.8671261,141.6278621,201.3714439,248.5384856,299.4044328,411.1536094,389.1189102,218.1099965,640.1187433,373.9466759
ENSMUSG00000000983,Wfdc18,0,12.22407594,0,0,0,0,0,0,0,0,1.433636603,0
ENSMUSG00000001014,Icam4,13.94747666,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001016,Ilf2,31.22332842,34.27535019,28.70466699,70.57550029,17.65069821,28.76532381,35.34323004,39.26020825,42.52125321,26.85107929,21.98242792,42.69803459
ENSMUSG00000001017,Chtop,93.98697337,91.68056956,112.0257814,230.3240989,107.4390326,84.92619411,54.70321592,186.162416,123.6082942,62.94597277,149.815025,87.93761885
ENSMUSG00000001018,Snapin,38.67254891,37.75082276,38.32460944,5.007045628,20.87386918,14.45876065,10.80557351,43.14308599,42.7684698,59.42451975,22.22136735,6.777465807
ENSMUSG00000001020,S100a4,1657.372311,1722.7558,1988.22488,1281.088389,1660.700475,1379.213568,1395.945028,1308.961229,1350.297006,1653.322194,856.1199916,1198.425391
ENSMUSG00000001021,S100a3,0,0,0,0.238430744,0,0,0,0,0,0,0,0
ENSMUSG00000001023,S100a5,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001025,S100a6,1517.739051,2829.274361,1620.960303,1850.699437,1886.168959,1559.263188,1419.807337,1574.722638,1562.656055,1434.551925,1652.744064,1895.48775
ENSMUSG00000001027,Scn4a,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001029,Icam2,10.30211344,23.0100253,23.7395354,8.583506792,15.65540189,12.4801934,21.1609148,9.922909777,39.80187074,0,41.33652206,18.12972103
ENSMUSG00000001034,Mapk7,17.90982798,63.39741346,8.06833883,18.59759805,64.00296655,50.681761,37.36927507,52.41884947,41.53238686,39.6163465,47.31000791,23.21282039
ENSMUSG00000001036,Epn2,4.279339428,0.239687764,0,78.44371485,0,10.19723119,0,6.040032038,0,0.220090814,0.238939434,0
ENSMUSG00000001039,B9d1,0,0,0,0,0,0,0,0,0,0.220090814,0,0
ENSMUSG00000001052,Sec24b,134.719945,66.63319827,95.26846234,15.25956763,40.21289505,85.0783916,40.52090068,100.0919595,75.15384288,0,49.46046281,37.27606194
ENSMUSG00000001053,N4bp3,0.158494053,0.239687764,0,0,3.530139642,0,0,0,0,0,1.911515471,2.033239742
ENSMUSG00000001054,Rmnd5b,48.34068614,10.30657383,14.58507404,0,18.87857287,23.438412,3.601857838,25.88585159,10.6303133,0,28.67273206,9.827325421
ENSMUSG00000001056,Nhp2,4.596327534,14.98048522,17.68828128,8.106645303,26.55278948,52.50813077,6.078135102,6.255747468,47.96001816,38.29580161,5.973485847,11.18281858
ENSMUSG00000001062,Vps9d1,16.95886366,29.24190715,32.42851568,34.33402717,32.99913143,34.70102555,57.62972541,10.13862521,6.922064476,16.50681104,18.87621528,26.43211665
ENSMUSG00000001065,Zfp276,23.61561388,26.48549787,53.37516457,0.953722977,21.02735352,12.93678584,0.45023223,41.84879341,38.31857121,0.440181628,6.690304148,54.21972646
ENSMUSG00000001076,C1ql4,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001082,Mfsd10,70.21286544,68.79038814,125.8350537,112.3008805,124.9362464,82.94762687,85.09389143,69.02893758,73.91775994,86.49568985,20.07091245,12.70774839
ENSMUSG00000001089,Luzp1,5.864279958,23.96877635,0.310320724,18.59759805,4.604529967,28.30873137,0.225116115,20.27725041,12.11361283,18.48762837,24.37182225,0
ENSMUSG00000001095,Slc13a2,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001098,Kctd10,12.83801829,24.44815188,52.13388167,65.09159317,40.05941072,38.04937012,33.09206889,18.55152697,19.77732707,100.1413203,61.88531337,17.11310116
ENSMUSG00000001100,Poldip2,3.645363217,24.44815188,31.34239315,29.80384303,24.25052449,28.91752129,40.7460168,10.57005607,75.89549265,3.521453022,3.584091508,43.03690788
ENSMUSG00000001103,Sebox,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000001105,Ift20,143.5956119,246.5188648,248.7220605,200.0433944,166.8374691,138.4997072,145.8752425,288.4115298,244.2499894,406.9479148,175.142605,171.9781949
