Name,Publication,First Author,GEO,Protocol,Tissue,Cell Type,Condition,Citation,Figure Information
Monocytes in Aging,bioRxiv,"Woo, Gutierrez et al",N/A,3',Bone Marrow,CM and NCM,"Aging, TNF-KO",Monocyte subpopulations exhibit distinct TNF-dependent aging signatures,"Figure 1: Ly6CHigh and Ly6CLow monocytes display unique age-associated transcriptional profiles, Figure 3: CM and NCM exhibit TNF-dependent aging signatures"
Synovial Macrophages in CIA,In preparation,"Chen, Montogomery, et al",N/A,3',Synovium,Macrophages,CIA timecourse,Synovial Macrophages in CIA,NA
Synovial Macrophages in STIA,In preparation,"Chen, Montogomery, et al",N/A,3',Synovium,Macrophages,STIA timecourse,Synovial Macrophages in STIA,NA
Tissue-Resident Macrophages,25480296,"Lavin, Winter, Blecher-Gonen et al",GSE63340,3',"Brain, Lung, Liver, Spleen, Peritoneum, Ileum, Colon, Bone Marrow",Macrophages,Steady-State,"Lavin, Yonit, et al. “Tissue-Resident Macrophage Enhancer Landscapes Are Shaped by the Local Microenvironment.” Cell, vol. 159, no. 6, Dec. 2014, pp. 1312–26. PubMed.",Figure 4: Tissue-Resident Macrophages Have Distinct Sets of Enhancers Determined by Ontogeny and Microenvironment
Microglia Development Timecourse,27338705,"Matcovitch-Natan, Winter, et al",GSE79812,3',"Yolk Sac, Brain",Microglia and Progenitors,Development,"Matcovitch-Natan, Orit, et al. “Microglia Development Follows a Stepwise Program to Regulate Brain Homeostasis.” Science, vol. 353, no. 6301, Aug. 2016, p. aad8670.",Figure 1: Global gene expression patterns reveal distinct microglia developmental phases
Microglia Development Poly-IC Treatment,27338705,"Matcovitch-Natan, Winter, et al",GSE79812,3',Brain,Pre and Mature Microglia,Development,"Matcovitch-Natan, Orit, et al. “Microglia Development Follows a Stepwise Program to Regulate Brain Homeostasis.” Science, vol. 353, no. 6301, Aug. 2016, p. aad8670.",Figure 5: MAFB is critical for regulation of homeostasis in adult microglia
Microglia Development Mafb Knockout,27338705,"Matcovitch-Natan, Winter, et al",GSE79812,3',Brain,Pre and Mature Microglia,Development,"Matcovitch-Natan, Orit, et al. “Microglia Development Follows a Stepwise Program to Regulate Brain Homeostasis.” Science, vol. 353, no. 6301, Aug. 2016, p. aad8670.",Figure 6: Perturbations of immune signals shift microglia expression patterns
Microglia Development Germ-Free,27338705,"Matcovitch-Natan, Winter, et al",GSE79812,3',Brain,Pre and Mature Microglia,Development,"Matcovitch-Natan, Orit, et al. “Microglia Development Follows a Stepwise Program to Regulate Brain Homeostasis.” Science, vol. 353, no. 6301, Aug. 2016, p. aad8670.",Figure 6: Perturbations of immune signals shift microglia expression patterns
CreCOM NP-SLE Model,In preparation,"Cuda, Winter, et al",N/A,full-length,Brain,Microglia,NP-SLE model (CreCOM),Neuropsychiatric Lupus Model,NA
NZBW NP-SLE Model,In preparation,"Cuda, Winter, et al",N/A,full-length,Brain,Microglia,NP-SLE model (NZBW),Neuropsychiatric Lupus Model,NA
MRL NP-SLE Model,In preparation,"Cuda, Winter, et al",N/A,full-length,Brain,Microglia,NP-SLE model (MRL),Neuropsychiatric Lupus Model,NA
